%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1474477153467904939,1,1474477152362000942,map,-40.4037841117,-45.4228836652,3.29680004597,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477154665827831,2,1474477154337498903,map,-40.0458834922,-44.8272835371,3.22420003891,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477156408642703,3,1474477155777745008,map,-39.9170840537,-44.3802835104,2.80069997787,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477157565940801,4,1474477157182447910,map,-39.7868846214,-43.7837835905,2.88549998283,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477159478439395,5,1474477158606904029,map,-39.7431834495,-43.274183428,2.63619997978,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477160565553591,6,1474477160239695072,map,-39.4657843864,-43.0626832601,2.53929999352,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477163464356883,7,1474477163133979082,map,-39.0758841788,-41.6317836401,2.42859998226,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477165488765226,8,1474477164580584049,map,-38.7855838096,-41.1943835374,2.33500000715,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477166666514107,9,1474477166258423089,map,-38.7412837302,-40.8350834009,2.37909999371,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477168488875374,10,1474477167650312900,map,-38.5580848014,-40.1556834337,2.36410000801,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477169666705316,11,1474477169258085966,map,-38.4018843925,-39.8296834585,2.26109999299,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477172465133015,12,1474477170548018932,map,-38.4459842002,-39.3230834362,2.88769999027,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477172465133015,13,1474477172108186960,map,-38.8079837119,-39.0141834375,2.68950000286,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477175162769829,14,1474477173513596057,map,-39.1248839652,-38.512683427,2.87899997711,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477175444509945,15,1474477174808013916,map,-39.3782847678,-38.2009834406,2.7948999691,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477176562108610,16,1474477176174034118,map,-39.5828841483,-38.2111834642,3.24430003643,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1474477179260987129,17,1474477177431504011,map,-39.9159835136,-38.1720834133,2.81949999809,0.0,0.0,0.0,1.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,4.1664,0.0,0.0,0.0,0.0,0.0,0.0,7.6656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
